amc_name,aum_cr,month,ingested_at
360 ONE,13193.878699999996,January - March 2026,2026-06-20T13:27:19Z
Abakkus,3129.4718999999986,January - March 2026,2026-06-20T13:27:19Z
Aditya Birla Sun Life,435865.9589000001,January - March 2026,2026-06-20T13:27:19Z
Angel One,419.30729999999994,January - March 2026,2026-06-20T13:27:19Z
Axis,359601.2478000002,January - March 2026,2026-06-20T13:27:19Z
Bajaj Finserv,30626.567400000007,January - March 2026,2026-06-20T13:27:19Z
Bandhan,195325.0897,January - March 2026,2026-06-20T13:27:19Z
Bank of India,14170.872700000005,January - March 2026,2026-06-20T13:27:19Z
Baroda BNP Paribas,54607.95399999998,January - March 2026,2026-06-20T13:27:19Z
Canara Robeco,117482.93850000003,January - March 2026,2026-06-20T13:27:19Z
Capitalmind,472.11400000000003,January - March 2026,2026-06-20T13:27:19Z
Choice,69.4349,January - March 2026,2026-06-20T13:27:19Z
DSP,225399.62939999998,January - March 2026,2026-06-20T13:27:19Z
Edelweiss,165670.20680000004,January - March 2026,2026-06-20T13:27:19Z
Franklin Templeton,123574.20770000003,January - March 2026,2026-06-20T13:27:19Z
Groww,4181.2495,January - March 2026,2026-06-20T13:27:19Z
HDFC,927451.2684000001,January - March 2026,2026-06-20T13:27:19Z
Helios,9400.543899999997,January - March 2026,2026-06-20T13:27:19Z
HSBC,136057.85410000006,January - March 2026,2026-06-20T13:27:19Z
ICICI Prudential,1103751.3182000003,January - March 2026,2026-06-20T13:27:19Z
IL&FS,911.2454000000001,January - March 2026,2026-06-20T13:27:19Z
Invesco,140647.77080000003,January - March 2026,2026-06-20T13:27:19Z
ITI,10825.1441,January - March 2026,2026-06-20T13:27:19Z
Jio BlackRock,16711.5227,January - March 2026,2026-06-20T13:27:19Z
JM Financial,13219.242600000003,January - March 2026,2026-06-20T13:27:19Z
Kotak Mahindra,580950.2397999995,January - March 2026,2026-06-20T13:27:19Z
LIC,46461.192400000014,January - March 2026,2026-06-20T13:27:19Z
Mahindra Manulife,33126.6806,January - March 2026,2026-06-20T13:27:19Z
Mirae Asset,221354.55910000007,January - March 2026,2026-06-20T13:27:19Z
Motilal Oswal,131741.94820000013,January - March 2026,2026-06-20T13:27:19Z
Navi,9007.334499999999,January - March 2026,2026-06-20T13:27:19Z
Nippon India,724965.1391999997,January - March 2026,2026-06-20T13:27:19Z
NJ,6965.171100000001,January - March 2026,2026-06-20T13:27:19Z
Old Bridge,2566.0979,January - March 2026,2026-06-20T13:27:19Z
PGIM India,26401.186499999996,January - March 2026,2026-06-20T13:27:19Z
PPFAS,152328.1613,January - March 2026,2026-06-20T13:27:19Z
quant,88362.5387,January - March 2026,2026-06-20T13:27:19Z
Quantum,3229.6481,January - March 2026,2026-06-20T13:27:19Z
Samco,2532.1090999999997,January - March 2026,2026-06-20T13:27:19Z
SBI,1248003.0067,January - March 2026,2026-06-20T13:27:19Z
Shriram,1255.4812,January - March 2026,2026-06-20T13:27:19Z
Sundaram,74882.96710000001,January - March 2026,2026-06-20T13:27:19Z
Tata,227511.98369999984,January - March 2026,2026-06-20T13:27:19Z
Taurus,977.5266000000001,January - March 2026,2026-06-20T13:27:19Z
The Wealth Company,1403.7215000000003,January - March 2026,2026-06-20T13:27:19Z
Trust,4252.9568,January - March 2026,2026-06-20T13:27:19Z
Unifi,1440.3272,January - March 2026,2026-06-20T13:27:19Z
Union,26194.055599999996,January - March 2026,2026-06-20T13:27:19Z
UTI,388469.81419999973,January - March 2026,2026-06-20T13:27:19Z
WhiteOak Capital,33023.5922,January - March 2026,2026-06-20T13:27:19Z
Zerodha,13793.0081,January - March 2026,2026-06-20T13:27:19Z
