amc_name,aum_cr,month,ingested_at
Aditya Birla Sun Life,487415.73,January - March 2026,2026-06-11T20:02:37Z
Angel One,3257.9100000000003,January - March 2026,2026-06-11T20:02:37Z
Axis,829925.2400000001,January - March 2026,2026-06-11T20:02:37Z
Bandhan,196171.37,January - March 2026,2026-06-11T20:02:37Z
Baroda Bnp Paribas,39894.380000000005,January - March 2026,2026-06-11T20:02:37Z
Dsp,322270.95,January - March 2026,2026-06-11T20:02:37Z
Edelweiss,2403721.41,January - March 2026,2026-06-11T20:02:37Z
Franklin Templeton,138166.29,January - March 2026,2026-06-11T20:02:37Z
Groww,57251.58,January - March 2026,2026-06-11T20:02:37Z
Hdfc,2541540.4599999995,January - March 2026,2026-06-11T20:02:37Z
Hsbc,73035.92000000001,January - March 2026,2026-06-11T20:02:37Z
Icici Prudential,6040868.01,January - March 2026,2026-06-11T20:02:37Z
Invesco,69595.12,January - March 2026,2026-06-11T20:02:37Z
Kotak Mahindra,1833246.7600000005,January - March 2026,2026-06-11T20:02:37Z
Lic,74590.19,January - March 2026,2026-06-11T20:02:37Z
Mahindra Manulife,2639.95,January - March 2026,2026-06-11T20:02:37Z
Mirae Asset,652898.2900000002,January - March 2026,2026-06-11T20:02:37Z
Motilal Oswal,886002.0799999998,January - March 2026,2026-06-11T20:02:37Z
Nippon India,1506585.4600000002,January - March 2026,2026-06-11T20:02:37Z
Quantum,71846.17,January - March 2026,2026-06-11T20:02:37Z
Sbi,2259637.3099999996,January - March 2026,2026-06-11T20:02:37Z
Sundaram,7113.460000000001,January - March 2026,2026-06-11T20:02:37Z
Tata,270766.02999999997,January - March 2026,2026-06-11T20:02:37Z
The Wealth Company,892.98,January - March 2026,2026-06-11T20:02:37Z
Union,43933.19,January - March 2026,2026-06-11T20:02:37Z
Uti,202503.39,January - March 2026,2026-06-11T20:02:37Z
Zerodha,65514.08,January - March 2026,2026-06-11T20:02:37Z
