amc_name,aum_cr,month,ingested_at
360 ONE,13053.468799999997,April - June 2026,2026-09-03T14:55:27Z
Abakkus,5579.870800000001,April - June 2026,2026-09-03T14:55:27Z
Aditya Birla Sun Life,427675.21730000037,April - June 2026,2026-09-03T14:55:27Z
Angel One,564.9354,April - June 2026,2026-09-03T14:55:27Z
Axis,369030.1191999997,April - June 2026,2026-09-03T14:55:27Z
Bajaj Finserv,33027.31800000001,April - June 2026,2026-09-03T14:55:27Z
Bandhan,204046.0496999998,April - June 2026,2026-09-03T14:55:27Z
Bank of India,15445.8547,April - June 2026,2026-09-03T14:55:27Z
Baroda BNP Paribas,53148.578899999986,April - June 2026,2026-09-03T14:55:27Z
Canara Robeco,118727.52790000004,April - June 2026,2026-09-03T14:55:27Z
Capitalmind,569.1398999999999,April - June 2026,2026-09-03T14:55:27Z
Choice,82.557,April - June 2026,2026-09-03T14:55:27Z
DSP,229801.59810000035,April - June 2026,2026-09-03T14:55:27Z
Edelweiss,170951.15279999998,April - June 2026,2026-09-03T14:55:27Z
Franklin Templeton,126017.4059,April - June 2026,2026-09-03T14:55:27Z
Groww,5106.382800000003,April - June 2026,2026-09-03T14:55:27Z
HDFC,935100.3803999993,April - June 2026,2026-09-03T14:55:27Z
Helios,11103.2582,April - June 2026,2026-09-03T14:55:27Z
HSBC,143007.2309999999,April - June 2026,2026-09-03T14:55:27Z
ICICI Prudential,1114544.1314,April - June 2026,2026-09-03T14:55:27Z
IL&FS,931.7152000000001,April - June 2026,2026-09-03T14:55:27Z
Invesco,146008.70100000015,April - June 2026,2026-09-03T14:55:27Z
ITI,11302.291300000004,April - June 2026,2026-09-03T14:55:27Z
Jio BlackRock,17978.902500000004,April - June 2026,2026-09-03T14:55:27Z
JM Financial,13204.5887,April - June 2026,2026-09-03T14:55:27Z
Kotak Mahindra,590459.9953000002,April - June 2026,2026-09-03T14:55:27Z
LIC,49534.92120000002,April - June 2026,2026-09-03T14:55:27Z
Mahindra Manulife,34786.37059999999,April - June 2026,2026-09-03T14:55:27Z
Mirae Asset,224952.41650000005,April - June 2026,2026-09-03T14:55:27Z
Motilal Oswal,142529.9846,April - June 2026,2026-09-03T14:55:27Z
Navi,9453.115699999998,April - June 2026,2026-09-03T14:55:27Z
Nippon India,751518.7118999995,April - June 2026,2026-09-03T14:55:27Z
NJ,6922.3229,April - June 2026,2026-09-03T14:55:27Z
Old Bridge,3418.8368,April - June 2026,2026-09-03T14:55:27Z
PGIM India,26639.932199999992,April - June 2026,2026-09-03T14:55:27Z
PPFAS,160807.10109999997,April - June 2026,2026-09-03T14:55:27Z
quant,95314.39499999996,April - June 2026,2026-09-03T14:55:27Z
Quantum,3185.1395999999995,April - June 2026,2026-09-03T14:55:27Z
Samco,2522.1255999999994,April - June 2026,2026-09-03T14:55:27Z
SBI,1257352.2888000002,April - June 2026,2026-09-03T14:55:27Z
Shriram,1160.83,April - June 2026,2026-09-03T14:55:27Z
Sundaram,76928.70630000002,April - June 2026,2026-09-03T14:55:27Z
Tata,228538.18250000002,April - June 2026,2026-09-03T14:55:27Z
Taurus,1009.1659999999999,April - June 2026,2026-09-03T14:55:27Z
The Wealth Company,1297.5101,April - June 2026,2026-09-03T14:55:27Z
Trust,5074.937999999999,April - June 2026,2026-09-03T14:55:27Z
Unifi,1497.4217999999998,April - June 2026,2026-09-03T14:55:27Z
Union,28097.71819999999,April - June 2026,2026-09-03T14:55:27Z
UTI,392691.06580000004,April - June 2026,2026-09-03T14:55:27Z
WhiteOak Capital,37392.4158,April - June 2026,2026-09-03T14:55:27Z
Zerodha,15373.419800000005,April - June 2026,2026-09-03T14:55:27Z
