amc_name,average_aum_cr,period_start,period_end,market_share_pct,rank
SBI,1257352.288800,2026-04-01,2026-06-30,15.122463,1
ICICI Prudential,1114544.131400,2026-04-01,2026-06-30,13.404877,2
HDFC,935100.380400,2026-04-01,2026-06-30,11.246666,3
Nippon India,751518.711900,2026-04-01,2026-06-30,9.038687,4
Kotak Mahindra,590459.995300,2026-04-01,2026-06-30,7.101597,5
Aditya Birla Sun Life,427675.217300,2026-04-01,2026-06-30,5.143748,6
UTI,392691.065800,2026-04-01,2026-06-30,4.722985,7
Axis,369030.119200,2026-04-01,2026-06-30,4.438410,8
DSP,229801.598100,2026-04-01,2026-06-30,2.763876,9
Tata,228538.182500,2026-04-01,2026-06-30,2.748681,10
