scheme_code,scheme_name,amc_name,category,isin_growth,isin_reinvestment,plan_type,option_type,nav,nav_date
122612,360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01183,,Regular,Growth,23.7794,2026-06-12
122715,360 ONE Dynamic Bond Fund Direct Plan Growth,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01266,,Direct,Growth,25.1469,2026-06-12
122721,360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01282,INF579M01316,Direct,IDCW,14.1008,2026-06-12
122717,360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01290,INF579M01324,Direct,IDCW,23.2014,2026-06-12
122711,360 ONE Dynamic Bond Fund Regular Plan Bonus,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01191,,Regular,Bonus,23.7793,2026-06-12
122720,360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01225,INF579M01258,Regular,IDCW,22.947,2026-06-12
122719,360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01209,INF579M01233,Regular,IDCW,13.0027,2026-06-12
122712,360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond,INF579M01217,INF579M01241,Regular,IDCW,22.9472,2026-06-12
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,360 ONE Mutual Fund,Equity Scheme - ELSS,INF579M01AN2,,Direct,Growth,13.3807,2026-06-12
151166,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - IDCW Payout,360 ONE Mutual Fund,Equity Scheme - ELSS,INF579M01AO0,,Direct,IDCW,13.3807,2026-06-12
151164,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,360 ONE Mutual Fund,Equity Scheme - ELSS,INF579M01AL6,,Regular,Growth,13.2655,2026-06-12
151167,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,360 ONE Mutual Fund,Equity Scheme - ELSS,INF579M01AM4,,Regular,IDCW,13.2655,2026-06-12
151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,INF579M01AS1,,Direct,Growth,15.8123,2026-06-12
151798,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,INF579M01AT9,INF579M01AU7,Direct,IDCW,15.8123,2026-06-12
151799,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,INF579M01AP7,,Regular,Growth,15.0995,2026-06-12
151797,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,INF579M01AQ5,INF579M01AR3,Regular,IDCW,15.0995,2026-06-12
131581,360 ONE Focused Fund - Direct Plan - Dividend,360 ONE Mutual Fund,Equity Scheme - Focused Fund,INF579M01910,INF579M01928,Direct,IDCW,52.166,2026-06-12
131579,360 ONE Focused Fund - Regular Plan - Dividend,360 ONE Mutual Fund,Equity Scheme - Focused Fund,INF579M01886,INF579M01894,Regular,IDCW,40.7719,2026-06-12
131578,360 ONE Focused Fund -Regular Plan - Growth,360 ONE Mutual Fund,Equity Scheme - Focused Fund,INF579M01878,,Regular,Growth,46.0805,2026-06-12
131580,360 ONE Focused Fund-Direct Plan-Growth,360 ONE Mutual Fund,Equity Scheme - Focused Fund,INF579M01902,,Direct,Growth,52.7036,2026-06-12
125349,360 ONE LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT,360 ONE Mutual Fund,Debt Scheme - Liquid Fund,,INF579M01688,Direct,IDCW,1000.4268,2026-06-14
125345,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,360 ONE Mutual Fund,Debt Scheme - Liquid Fund,INF579M01621,,Direct,Growth,2140.5449,2026-06-14
125343,360 ONE LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND,360 ONE Mutual Fund,Debt Scheme - Liquid Fund,INF579M01639,INF579M01696,Direct,IDCW,1005.9144,2026-06-14
125342,360 ONE LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT,360 ONE Mutual Fund,Debt Scheme - Liquid Fund,,INF579M01563,Regular,IDCW,1000.4268,2026-06-14
125259,360 ONE LIQUID FUND REGULAR PLAN  GROWTH,360 ONE Mutual Fund,Debt Scheme - Liquid Fund,INF579M01506,,Regular,Growth,2125.2002,2026-06-14
125337,360 ONE LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND,360 ONE Mutual Fund,Debt Scheme - Liquid Fund,INF579M01514,INF579M01571,Regular,IDCW,1005.8707,2026-06-14
153703,360 ONE Overnight Fund - Direct Plan - Growth,360 ONE Mutual Fund,Debt Scheme - Overnight Fund,INF579M01BG4,,Direct,Growth,1050.3294,2026-06-14
153700,360 ONE Overnight Fund - Regular Plan - Growth,360 ONE Mutual Fund,Debt Scheme - Overnight Fund,INF579M01BD1,,Regular,Growth,1049.5486,2026-06-14
153702,360 ONE Overnight Fund - Regular Plan - IDCW,360 ONE Mutual Fund,Debt Scheme - Overnight Fund,INF579M01BE9,INF579M01BF6,Regular,IDCW,1049.5486,2026-06-14
153701,360 ONE Overnight Fund- Direct Plan - IDCW,360 ONE Mutual Fund,Debt Scheme - Overnight Fund,INF579M01BH2,INF579M01BI0,Direct,IDCW,1050.3294,2026-06-14
149318,360 ONE QUANT FUND DIRECT GROWTH,360 ONE Mutual Fund,Equity Scheme - Sectoral/ Thematic,INF579M01AI2,,Direct,Growth,19.1188,2026-06-12
149319,360 ONE QUANT FUND DIRECT INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,360 ONE Mutual Fund,Equity Scheme - Sectoral/ Thematic,INF579M01AJ0,INF579M01AK8,Direct,Other,19.1188,2026-06-12
149317,360 ONE QUANT FUND REGULAR GROWTH,360 ONE Mutual Fund,Equity Scheme - Sectoral/ Thematic,INF579M01AF8,,Regular,Growth,18.0453,2026-06-12
149316,360 ONE QUANT FUND REGULAR INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,360 ONE Mutual Fund,Equity Scheme - Sectoral/ Thematic,INF579M01AG6,INF579M01AH4,Regular,Other,18.0453,2026-06-12
154043,Abakkus Flexi Cap Fund - Direct - Growth,Abakkus Mutual Fund,Equity Scheme - Flexi Cap Fund,INF2JJD01136,,Direct,Growth,10.549,2026-06-12
154045,Abakkus Flexi Cap Fund - Direct - IDCW,Abakkus Mutual Fund,Equity Scheme - Flexi Cap Fund,INF2JJD01128,INF2JJD01110,Direct,IDCW,10.554,2026-06-12
154041,Abakkus Flexi Cap Fund - Regular - Growth,Abakkus Mutual Fund,Equity Scheme - Flexi Cap Fund,INF2JJD01169,,Regular,Growth,10.48,2026-06-12
