scheme_code,scheme_name,amc_name,category,isin_growth,isin_reinvestment,plan_type,option_type,nav,nav_date
152073,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AZ6,INF579M01BA7,Unknown,Other,,
152075,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AV5,,Unknown,Other,,
152076,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AY9,,Unknown,Other,,
152074,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AW3,INF579M01AX1,Unknown,Other,,
122612,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01183,,Unknown,Other,,
122715,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01266,,Unknown,Other,,
122721,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01282,INF579M01316,Unknown,Other,,
122717,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01290,INF579M01324,Unknown,Other,,
122711,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01191,,Unknown,Other,,
122720,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01225,INF579M01258,Unknown,Other,,
122719,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01209,INF579M01233,Unknown,Other,,
122712,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01217,INF579M01241,Unknown,Other,,
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AN2,,Unknown,Other,,
151166,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AO0,,Unknown,Other,,
151164,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AL6,,Unknown,Other,,
