amc_name,scenario,revenue_yield,current_revenue_cr,revenue_y1_cr,revenue_y2_cr,revenue_y3_cr
360 ONE,Base Case,0.0075,98.9500,110.8240,124.1229,139.0176
360 ONE,Bear Case,0.0075,98.9500,104.8870,111.1802,117.8510
360 ONE,Bull Case,0.0075,98.9500,116.7610,137.7780,162.5780
Abakkus,Base Case,0.0075,23.4700,26.2864,29.4408,32.9737
Abakkus,Bear Case,0.0075,23.4700,24.8782,26.3709,27.9532
Abakkus,Bull Case,0.0075,23.4700,27.6946,32.6796,38.5620
Aditya Birla Sun Life,Base Case,0.0075,3268.9900,3661.2688,4100.6210,4592.6956
Aditya Birla Sun Life,Bear Case,0.0075,3268.9900,3465.1294,3673.0372,3893.4194
Aditya Birla Sun Life,Bull Case,0.0075,3268.9900,3857.4082,4551.7417,5371.0552
Angel One,Base Case,0.0075,3.1400,3.5168,3.9388,4.4114
Angel One,Bear Case,0.0075,3.1400,3.3284,3.5281,3.7398
Angel One,Bull Case,0.0075,3.1400,3.7052,4.3721,5.1591
Axis,Base Case,0.0075,2697.0100,3020.6512,3383.1293,3789.1048
Axis,Bear Case,0.0075,2697.0100,2858.8306,3030.3604,3212.1820
Axis,Bull Case,0.0075,2697.0100,3182.4718,3755.3167,4431.2737
Bajaj Finserv,Base Case,0.0075,229.7000,257.2640,288.1357,322.7119
Bajaj Finserv,Bear Case,0.0075,229.7000,243.4820,258.0909,273.5764
Bajaj Finserv,Bull Case,0.0075,229.7000,271.0460,319.8343,377.4044
Bandhan,Base Case,0.0075,1464.9400,1640.7328,1837.6207,2058.1352
Bandhan,Bear Case,0.0075,1464.9400,1552.8364,1646.0066,1744.7670
Bandhan,Bull Case,0.0075,1464.9400,1728.6292,2039.7825,2406.9433
Bank of India,Base Case,0.0075,106.2800,119.0336,133.3177,149.3158
Bank of India,Bear Case,0.0075,106.2800,112.6568,119.4162,126.5812
Bank of India,Bull Case,0.0075,106.2800,125.4104,147.9843,174.6215
