amc_name,scenario,revenue_yield,current_revenue_cr,revenue_y1_cr,revenue_y2_cr,revenue_y3_cr
JM Financial,Bear Case,0.0075,99.0300,104.9718,111.2701,117.9463
JM Financial,Bull Case,0.0075,99.0300,116.8554,137.8894,162.7094
Jio BlackRock,Base Case,0.0075,134.8400,151.0208,169.1433,189.4405
Jio BlackRock,Bear Case,0.0075,134.8400,142.9304,151.5062,160.5966
Jio BlackRock,Bull Case,0.0075,134.8400,159.1112,187.7512,221.5465
Kotak Mahindra,Base Case,0.0075,4428.4500,4959.8640,5555.0476,6221.6534
Kotak Mahindra,Bear Case,0.0075,4428.4500,4694.1570,4975.8064,5274.3548
Kotak Mahindra,Bull Case,0.0075,4428.4500,5225.5710,6166.1737,7276.0850
LIC,Base Case,0.0075,371.5100,416.0912,466.0222,521.9448
LIC,Bear Case,0.0075,371.5100,393.8006,417.4286,442.4744
LIC,Bull Case,0.0075,371.5100,438.3818,517.2905,610.4028
Mahindra Manulife,Base Case,0.0075,260.9000,292.2080,327.2730,366.5457
Mahindra Manulife,Bear Case,0.0075,260.9000,276.5540,293.1472,310.7361
Mahindra Manulife,Bull Case,0.0075,260.9000,307.8620,363.2772,428.6671
Mirae Asset,Base Case,0.0075,1687.1400,1889.5968,2116.3484,2370.3102
Mirae Asset,Bear Case,0.0075,1687.1400,1788.3684,1895.6705,2009.4107
Mirae Asset,Bull Case,0.0075,1687.1400,1990.8252,2349.1737,2772.0250
Motilal Oswal,Base Case,0.0075,1068.9700,1197.2464,1340.9160,1501.8259
Motilal Oswal,Bear Case,0.0075,1068.9700,1133.1082,1201.0947,1273.1604
Motilal Oswal,Bull Case,0.0075,1068.9700,1261.3846,1488.4339,1756.3520
NJ,Base Case,0.0075,51.9200,58.1504,65.1285,72.9439
NJ,Bear Case,0.0075,51.9200,55.0352,58.3373,61.8376
NJ,Bull Case,0.0075,51.9200,61.2656,72.2934,85.3063
Navi,Base Case,0.0075,70.9000,79.4080,88.9369,99.6093
Navi,Bear Case,0.0075,70.9000,75.1540,79.6632,84.4430
Navi,Bull Case,0.0075,70.9000,83.6620,98.7211,116.4909
Nippon India,Base Case,0.0075,5636.3900,6312.7568,7070.2876,7918.7222
Nippon India,Bear Case,0.0075,5636.3900,5974.5734,6333.0478,6713.0307
Nippon India,Bull Case,0.0075,5636.3900,6650.9402,7848.1095,9260.7692
Old Bridge,Base Case,0.0075,25.6400,28.7168,32.1628,36.0223
Old Bridge,Bear Case,0.0075,25.6400,27.1784,28.8091,30.5376
Old Bridge,Bull Case,0.0075,25.6400,30.2552,35.7011,42.1273
PGIM India,Base Case,0.0075,199.8000,223.7760,250.6291,280.7046
PGIM India,Bear Case,0.0075,199.8000,211.7880,224.4953,237.9650
PGIM India,Bull Case,0.0075,199.8000,235.7640,278.2015,328.2778
PPFAS,Base Case,0.0075,1206.0500,1350.7760,1512.8691,1694.4134
PPFAS,Bear Case,0.0075,1206.0500,1278.4130,1355.1178,1436.4249
PPFAS,Bull Case,0.0075,1206.0500,1423.1390,1679.3040,1981.5788
Quantum,Base Case,0.0075,23.8900,26.7568,29.9676,33.5637
Quantum,Bear Case,0.0075,23.8900,25.3234,26.8428,28.4534
Quantum,Bull Case,0.0075,23.8900,28.1902,33.2644,39.2520
SBI,Base Case,0.0075,9430.1400,10561.7568,11829.1676,13248.6677
SBI,Bear Case,0.0075,9430.1400,9995.9484,10595.7053,11231.4476
SBI,Bull Case,0.0075,9430.1400,11127.5652,13130.5269,15494.0218
Samco,Base Case,0.0075,18.9200,21.1904,23.7332,26.5812
Samco,Bear Case,0.0075,18.9200,20.0552,21.2585,22.5340
Samco,Bull Case,0.0075,18.9200,22.3256,26.3442,31.0861
Shriram,Base Case,0.0075,8.7100,9.7552,10.9258,12.2369
Shriram,Bear Case,0.0075,8.7100,9.2326,9.7866,10.3737
Shriram,Bull Case,0.0075,8.7100,10.2778,12.1278,14.3108
Sundaram,Base Case,0.0075,576.9700,646.2064,723.7511,810.6013
Sundaram,Bear Case,0.0075,576.9700,611.5882,648.2835,687.1805
Sundaram,Bull Case,0.0075,576.9700,680.8246,803.3730,947.9801
Tata,Base Case,0.0075,1714.0400,1919.7248,2150.0918,2408.1028
Tata,Bear Case,0.0075,1714.0400,1816.8824,1925.8954,2041.4491
Tata,Bull Case,0.0075,1714.0400,2022.5672,2386.6293,2816.2226
Taurus,Base Case,0.0075,7.5700,8.4784,9.4958,10.6353
Taurus,Bear Case,0.0075,7.5700,8.0242,8.5056,9.0160
Taurus,Bull Case,0.0075,7.5700,8.9326,10.5404,12.4377
The Wealth Company,Base Case,0.0075,9.7300,10.8976,12.2053,13.6700
The Wealth Company,Bear Case,0.0075,9.7300,10.3138,10.9326,11.5886
The Wealth Company,Bull Case,0.0075,9.7300,11.4814,13.5481,15.9867
Trust,Base Case,0.0075,38.0600,42.6272,47.7424,53.4715
Trust,Bear Case,0.0075,38.0600,40.3436,42.7642,45.3301
Trust,Bull Case,0.0075,38.0600,44.9108,52.9947,62.5338
UTI,Base Case,0.0075,2945.1800,3298.6016,3694.4338,4137.7658
UTI,Bear Case,0.0075,2945.1800,3121.8908,3309.2042,3507.7565
UTI,Bull Case,0.0075,2945.1800,3475.3124,4100.8686,4839.0249
Unifi,Base Case,0.0075,11.2300,12.5776,14.0869,15.7774
Unifi,Bear Case,0.0075,11.2300,11.9038,12.6180,13.3751
Unifi,Bull Case,0.0075,11.2300,13.2514,15.6367,18.4513
Union,Base Case,0.0075,210.7300,236.0176,264.3397,296.0605
Union,Bear Case,0.0075,210.7300,223.3738,236.7762,250.9828
Union,Bull Case,0.0075,210.7300,248.6614,293.4204,346.2361
WhiteOak Capital,Base Case,0.0075,280.4400,314.0928,351.7839,393.9980
WhiteOak Capital,Bear Case,0.0075,280.4400,297.2664,315.1023,334.0085
WhiteOak Capital,Bull Case,0.0075,280.4400,330.9192,390.4846,460.7718
Zerodha,Base Case,0.0075,115.3000,129.1360,144.6323,161.9882
Zerodha,Bear Case,0.0075,115.3000,122.2180,129.5511,137.3241
Zerodha,Bull Case,0.0075,115.3000,136.0540,160.5437,189.4416
quant,Base Case,0.0075,714.8600,800.6432,896.7204,1004.3269
quant,Bear Case,0.0075,714.8600,757.7516,803.2167,851.4097
quant,Bull Case,0.0075,714.8600,843.5348,995.3711,1174.5379
