amc_name,scenario,current_aum_cr,year_1_aum_cr,year_2_aum_cr,year_3_aum_cr
360 ONE,Base Case,13053.4688,14619.8851,16374.2713,18339.1838
360 ONE,Bear Case,13053.4688,13836.6769,14666.8775,15546.8902
360 ONE,Bull Case,13053.4688,15403.0932,18175.6500,21447.2669
Abakkus,Base Case,5579.8708,6249.4553,6999.3899,7839.3167
Abakkus,Bear Case,5579.8708,5914.6630,6269.5428,6645.7154
Abakkus,Bull Case,5579.8708,6584.2475,7769.4121,9167.9063
Aditya Birla Sun Life,Base Case,427675.2173,478996.2434,536475.7926,600852.8877
Aditya Birla Sun Life,Bear Case,427675.2173,453335.7303,480535.8742,509368.0266
Aditya Birla Sun Life,Bull Case,427675.2173,504656.7564,595494.9726,702684.0676
Angel One,Base Case,564.9354,632.7276,708.6550,793.6936
Angel One,Bear Case,564.9354,598.8315,634.7614,672.8471
Angel One,Bull Case,564.9354,666.6238,786.6161,928.2069
Axis,Base Case,369030.1192,413313.7335,462911.3815,518460.7473
Axis,Bear Case,369030.1192,391171.9264,414642.2419,439520.7764
Axis,Bull Case,369030.1192,435455.5407,513837.5380,606328.2948
Bajaj Finserv,Base Case,33027.3180,36990.5962,41429.4677,46401.0038
Bajaj Finserv,Bear Case,33027.3180,35008.9571,37109.4945,39336.0642
Bajaj Finserv,Bull Case,33027.3180,38972.2352,45987.2376,54264.9403
Bandhan,Base Case,204046.0497,228531.5757,255955.3647,286670.0085
Bandhan,Bear Case,204046.0497,216288.8127,229266.1414,243022.1099
Bandhan,Bull Case,204046.0497,240774.3386,284113.7196,335254.1891
Bank of India,Base Case,15445.8547,17299.3573,19375.2801,21700.3138
Bank of India,Bear Case,15445.8547,16372.6060,17354.9623,18396.2601
Bank of India,Bull Case,15445.8547,18226.1085,21506.8081,25378.0335
Baroda BNP Paribas,Base Case,53148.5789,59526.4084,66669.5774,74669.9267
Baroda BNP Paribas,Bear Case,53148.5789,56337.4936,59717.7433,63300.8078
Baroda BNP Paribas,Bull Case,53148.5789,62715.3231,74004.0813,87324.8159
Canara Robeco,Base Case,118727.5279,132974.8312,148931.8110,166803.6283
Canara Robeco,Bear Case,118727.5279,125851.1796,133402.2503,141406.3854
