amc_name,scenario,current_aum_cr,year_1_aum_cr,year_2_aum_cr,year_3_aum_cr
Canara Robeco,Bull Case,118727.5279,140098.4829,165316.2098,195073.1276
Capitalmind,Base Case,569.1399,637.4367,713.9291,799.6006
Capitalmind,Bear Case,569.1399,603.2883,639.4856,677.8547
Capitalmind,Bull Case,569.1399,671.5851,792.4704,935.1151
Choice,Base Case,82.5570,92.4638,103.5595,115.9866
Choice,Bear Case,82.5570,87.5104,92.7610,98.3267
Choice,Bull Case,82.5570,97.4173,114.9524,135.6438
DSP,Base Case,229801.5981,257377.7899,288263.1247,322854.6996
DSP,Bear Case,229801.5981,243589.6940,258205.0756,273697.3802
DSP,Bull Case,229801.5981,271165.8858,319975.7452,377571.3793
Edelweiss,Base Case,170951.1528,191465.2911,214441.1261,240174.0612
Edelweiss,Bear Case,170951.1528,181208.2220,192080.7153,203605.5582
Edelweiss,Bull Case,170951.1528,201722.3603,238032.3852,280878.2145
Franklin Templeton,Base Case,126017.4059,141139.4946,158076.2340,177045.3820
Franklin Templeton,Bear Case,126017.4059,133578.4503,141593.1573,150088.7467
Franklin Templeton,Bull Case,126017.4059,148700.5390,175466.6360,207050.6305
Groww,Base Case,5106.3828,5719.1487,6405.4466,7174.1002
Groww,Bear Case,5106.3828,5412.7658,5737.5317,6081.7836
Groww,Bull Case,5106.3828,6025.5317,7110.1274,8389.9503
HDFC,Base Case,935100.3804,1047312.4260,1172989.9172,1313748.7072
HDFC,Bear Case,935100.3804,991206.4032,1050678.7874,1113719.5147
HDFC,Bull Case,935100.3804,1103418.4489,1302033.7697,1536399.8482
HSBC,Base Case,143007.2310,160168.0987,179388.2706,200914.8630
HSBC,Bear Case,143007.2310,151587.6649,160682.9248,170323.9002
HSBC,Bull Case,143007.2310,168748.5326,199123.2684,234965.4568
Helios,Base Case,11103.2582,12435.6492,13927.9271,15599.2783
Helios,Bear Case,11103.2582,11769.4537,12475.6209,13224.1582
Helios,Bull Case,11103.2582,13101.8447,15460.1767,18243.0085
ICICI Prudential,Base Case,1114544.1314,1248289.4272,1398084.1584,1565854.2574
ICICI Prudential,Bear Case,1114544.1314,1181416.7793,1252301.7860,1327439.8932
ICICI Prudential,Bull Case,1114544.1314,1315162.0751,1551891.2486,1831231.6733
IL&FS,Base Case,931.7152,1043.5210,1168.7435,1308.9928
IL&FS,Bear Case,931.7152,987.6181,1046.8752,1109.6877
IL&FS,Bull Case,931.7152,1099.4239,1297.3202,1530.8379
ITI,Base Case,11302.2913,12658.5663,14177.5942,15878.9055
ITI,Bear Case,11302.2913,11980.4288,12699.2545,13461.2098
ITI,Bull Case,11302.2913,13336.7037,15737.3104,18570.0263
Invesco,Base Case,146008.7010,163529.7451,183153.3145,205131.7123
Invesco,Bear Case,146008.7010,154769.2231,164055.3764,173898.6990
Invesco,Bull Case,146008.7010,172290.2672,203302.5153,239896.9680
JM Financial,Base Case,13204.5887,14789.1393,16563.8361,18551.4964
JM Financial,Bear Case,13204.5887,13996.8640,14836.6759,15726.8764
JM Financial,Bull Case,13204.5887,15581.4147,18386.0693,21695.5618
Jio BlackRock,Base Case,17978.9025,20136.3708,22552.7353,25259.0635
Jio BlackRock,Bear Case,17978.9025,19057.6367,20201.0948,21413.1605
Jio BlackRock,Bull Case,17978.9025,21215.1050,25033.8238,29539.9121
Kotak Mahindra,Base Case,590459.9953,661315.1947,740673.0181,829553.7803
Kotak Mahindra,Bear Case,590459.9953,625887.5950,663440.8507,703247.3018
Kotak Mahindra,Bull Case,590459.9953,696742.7945,822156.4975,970144.6670
LIC,Base Case,49534.9212,55479.1117,62136.6052,69592.9978
LIC,Bear Case,49534.9212,52507.0165,55657.4375,58996.8837
LIC,Bull Case,49534.9212,58451.2070,68972.4243,81387.4606
Mahindra Manulife,Base Case,34786.3706,38960.7351,43636.0233,48872.3461
Mahindra Manulife,Bear Case,34786.3706,36873.5528,39085.9660,41431.1240
Mahindra Manulife,Bull Case,34786.3706,41047.9173,48436.5424,57155.1201
Mirae Asset,Base Case,224952.4165,251946.7065,282180.3113,316041.9486
Mirae Asset,Bear Case,224952.4165,238449.5615,252756.5352,267921.9273
Mirae Asset,Bull Case,224952.4165,265443.8515,313223.7447,369604.0188
Motilal Oswal,Base Case,142529.9846,159633.5828,178789.6127,200244.3662
Motilal Oswal,Bear Case,142529.9846,151081.7837,160146.6907,169755.4921
Motilal Oswal,Bull Case,142529.9846,168185.3818,198458.7506,234181.3257
NJ,Base Case,6922.3229,7753.0016,8683.3618,9725.3653
NJ,Bear Case,6922.3229,7337.6623,7777.9220,8244.5973
NJ,Bull Case,6922.3229,8168.3410,9638.6424,11373.5980
Navi,Base Case,9453.1157,10587.4896,11857.9883,13280.9469
Navi,Bear Case,9453.1157,10020.3026,10621.5208,11258.8120
Navi,Bull Case,9453.1157,11154.6765,13162.5183,15531.7716
Nippon India,Base Case,751518.7119,841700.9573,942705.0722,1055829.6809
Nippon India,Bear Case,751518.7119,796609.8346,844406.4247,895070.8102
Nippon India,Bull Case,751518.7119,886792.0800,1046414.6544,1234769.2923
Old Bridge,Base Case,3418.8368,3829.0972,4288.5889,4803.2195
Old Bridge,Bear Case,3418.8368,3623.9670,3841.4050,4071.8893
Old Bridge,Bull Case,3418.8368,4034.2274,4760.3884,5617.2583
PGIM India,Base Case,26639.9322,29836.7241,33417.1310,37427.1867
PGIM India,Bear Case,26639.9322,28238.3281,29932.6278,31728.5855
PGIM India,Bull Case,26639.9322,31435.1200,37093.4416,43770.2611
PPFAS,Base Case,160807.1011,180103.9532,201716.4276,225922.3989
PPFAS,Bear Case,160807.1011,170455.5272,180682.8588,191523.8303
PPFAS,Bull Case,160807.1011,189752.3793,223907.8076,264211.2129
Quantum,Base Case,3185.1396,3567.3564,3995.4391,4474.8918
Quantum,Bear Case,3185.1396,3376.2480,3578.8229,3793.5522
Quantum,Bull Case,3185.1396,3758.4647,4434.9884,5233.2863
SBI,Base Case,1257352.2888,1408234.5635,1577222.7111,1766489.4364
SBI,Bear Case,1257352.2888,1332793.4261,1412761.0317,1497526.6936
SBI,Bull Case,1257352.2888,1483675.7008,1750737.3269,2065870.0458
Samco,Base Case,2522.1256,2824.7807,3163.7544,3543.4049
Samco,Bear Case,2522.1256,2673.4531,2833.8603,3003.8919
Samco,Bull Case,2522.1256,2976.1082,3511.8077,4143.9331
Shriram,Base Case,1160.8300,1300.1296,1456.1452,1630.8826
Shriram,Bear Case,1160.8300,1230.4798,1304.3086,1382.5671
Shriram,Bull Case,1160.8300,1369.7794,1616.3397,1907.2808
Sundaram,Base Case,76928.7063,86160.1511,96499.3692,108079.2935
Sundaram,Bear Case,76928.7063,81544.4287,86437.0944,91623.3201
Sundaram,Bull Case,76928.7063,90775.8734,107115.5307,126396.3262
Tata,Base Case,228538.1825,255962.7644,286678.2961,321079.6917
Tata,Bear Case,228538.1825,242250.4735,256785.5019,272192.6320
Tata,Bull Case,228538.1825,269675.0553,318216.5653,375495.5471
Taurus,Base Case,1009.1660,1130.2659,1265.8978,1417.8056
Taurus,Bear Case,1009.1660,1069.7160,1133.8989,1201.9329
Taurus,Bull Case,1009.1660,1190.8159,1405.1627,1658.0920
The Wealth Company,Base Case,1297.5101,1453.2113,1627.5967,1822.9083
The Wealth Company,Bear Case,1297.5101,1375.3607,1457.8823,1545.3553
The Wealth Company,Bull Case,1297.5101,1531.0619,1806.6531,2131.8506
Trust,Base Case,5074.9380,5683.9306,6366.0022,7129.9225
Trust,Bear Case,5074.9380,5379.4343,5702.2003,6044.3324
Trust,Bull Case,5074.9380,5988.4268,7066.3437,8338.2855
UTI,Base Case,392691.0658,439813.9937,492591.6729,551702.6737
UTI,Bear Case,392691.0658,416252.5297,441227.6815,467701.3424
UTI,Bull Case,392691.0658,463375.4576,546783.0400,645203.9872
Unifi,Base Case,1497.4218,1677.1124,1878.3659,2103.7698
Unifi,Bear Case,1497.4218,1587.2671,1682.5031,1783.4533
Unifi,Bull Case,1497.4218,1766.9577,2085.0101,2460.3119
Union,Base Case,28097.7182,31469.4444,35245.7777,39475.2710
Union,Bear Case,28097.7182,29783.5813,31570.5962,33464.8319
Union,Bull Case,28097.7182,33155.3075,39123.2628,46165.4501
WhiteOak Capital,Base Case,37392.4158,41879.5057,46905.0464,52533.6519
WhiteOak Capital,Bear Case,37392.4158,39635.9607,42014.1184,44534.9655
WhiteOak Capital,Bull Case,37392.4158,44123.0506,52065.1998,61436.9357
Zerodha,Base Case,15373.4198,17218.2302,19284.4178,21598.5479
Zerodha,Bear Case,15373.4198,16295.8250,17273.5745,18309.9890
Zerodha,Bull Case,15373.4198,18140.6354,21405.9497,25259.0207
quant,Base Case,95314.3950,106752.1224,119562.3771,133909.8623
quant,Bear Case,95314.3950,101033.2587,107095.2542,113520.9695
quant,Bull Case,95314.3950,112470.9861,132715.7636,156604.6010
