amc_name,scenario,current_aum_cr,year_1_aum_cr,year_2_aum_cr,year_3_aum_cr
Kotak Mahindra,Bear Case,580950.2398,615807.2542,652755.6894,691921.0308
Kotak Mahindra,Bull Case,580950.2398,685521.2830,808915.1139,954519.8344
LIC,Base Case,46461.1924,52036.5355,58280.9197,65274.6301
LIC,Bear Case,46461.1924,49248.8639,52203.7958,55336.0235
LIC,Bull Case,46461.1924,54824.2070,64692.5643,76337.2259
Mahindra Manulife,Base Case,33126.6806,37101.8823,41554.1081,46540.6011
Mahindra Manulife,Bear Case,33126.6806,35114.2814,37221.1383,39454.4066
Mahindra Manulife,Bull Case,33126.6806,39089.4831,46125.5901,54428.1963
Mirae Asset,Base Case,221354.5591,247917.1062,277667.1589,310987.2180
Mirae Asset,Bear Case,221354.5591,234635.8326,248713.9826,263636.8216
Mirae Asset,Bull Case,221354.5591,261198.3797,308214.0881,363692.6239
Motilal Oswal,Base Case,131741.9482,147550.9820,165257.0998,185087.9518
Motilal Oswal,Bear Case,131741.9482,139646.4651,148025.2530,156906.7682
Motilal Oswal,Bull Case,131741.9482,155455.4989,183437.4887,216456.2366
NJ,Base Case,6965.1711,7800.9916,8737.1106,9785.5639
NJ,Bear Case,6965.1711,7383.0814,7826.0662,8295.6302
NJ,Bull Case,6965.1711,8218.9019,9698.3042,11443.9990
Navi,Base Case,9007.3345,10088.2146,11298.8004,12654.6564
Navi,Bear Case,9007.3345,9547.7746,10120.6410,10727.8795
Navi,Bull Case,9007.3345,10628.6547,12541.8126,14799.3388
Nippon India,Base Case,724965.1392,811960.9559,909396.2706,1018523.8231
Nippon India,Bear Case,724965.1392,768463.0476,814570.8304,863445.0802
Nippon India,Bull Case,724965.1392,855458.8643,1009441.4598,1191140.9226
Old Bridge,Base Case,2566.0979,2874.0296,3218.9132,3605.1828
Old Bridge,Bear Case,2566.0979,2720.0638,2883.2676,3056.2637
Old Bridge,Bull Case,2566.0979,3027.9955,3573.0347,4216.1810
PGIM India,Base Case,26401.1865,29569.3289,33117.6483,37091.7661
PGIM India,Bear Case,26401.1865,27985.2577,29664.3732,31444.2355
PGIM India,Bull Case,26401.1865,31153.4001,36761.0121,43377.9943
PPFAS,Base Case,152328.1613,170607.5407,191080.4455,214010.0990
PPFAS,Bear Case,152328.1613,161467.8510,171155.9220,181425.2774
PPFAS,Bull Case,152328.1613,179747.2303,212101.7318,250280.0435
Quantum,Base Case,3229.6481,3617.2059,4051.2706,4537.4230
Quantum,Bear Case,3229.6481,3423.4270,3628.8326,3846.5626
Quantum,Bull Case,3229.6481,3810.9848,4496.9620,5306.4152
SBI,Base Case,1248003.0067,1397763.3675,1565494.9716,1753354.3682
SBI,Bear Case,1248003.0067,1322883.1871,1402256.1783,1486391.5490
SBI,Bull Case,1248003.0067,1472643.5479,1737719.3865,2050508.8761
Samco,Base Case,2532.1091,2835.9622,3176.2777,3557.4310
Samco,Bear Case,2532.1091,2684.0356,2845.0778,3015.7825
Samco,Bull Case,2532.1091,2987.8887,3525.7087,4160.3363
Shriram,Base Case,1255.4812,1406.1389,1574.8756,1763.8607
Shriram,Bear Case,1255.4812,1330.8101,1410.6587,1495.2982
Shriram,Bull Case,1255.4812,1481.4678,1748.1320,2062.7958
Sundaram,Base Case,74882.9671,83868.9232,93933.1939,105205.1772
Sundaram,Bear Case,74882.9671,79375.9451,84138.5018,89186.8119
Sundaram,Bull Case,74882.9671,88361.9012,104267.0434,123035.1112
Tata,Base Case,227511.9837,254813.4217,285391.0324,319637.9562
Tata,Bear Case,227511.9837,241162.7027,255632.4649,270970.4128
Tata,Bull Case,227511.9837,268464.1408,316787.6861,373809.4696
