rank,amc_name,aum_cr,yield_pct,estimated_revenue_cr,report_date,generated_at
1,SBI,1257352.29,0.75,9430.14,2026-06-30,2026-09-03 20:37:04
2,ICICI Prudential,1114544.13,0.75,8359.08,2026-06-30,2026-09-03 20:37:04
3,HDFC,935100.38,0.75,7013.25,2026-06-30,2026-09-03 20:37:04
4,Nippon India,751518.71,0.75,5636.39,2026-06-30,2026-09-03 20:37:04
5,Kotak Mahindra,590460.0,0.75,4428.45,2026-06-30,2026-09-03 20:37:04
6,Aditya Birla Sun Life,427675.22,0.75,3207.56,2026-06-30,2026-09-03 20:37:04
7,UTI,392691.07,0.75,2945.18,2026-06-30,2026-09-03 20:37:04
8,Axis,369030.12,0.75,2767.73,2026-06-30,2026-09-03 20:37:04
9,DSP,229801.6,0.75,1723.51,2026-06-30,2026-09-03 20:37:04
10,Tata,228538.18,0.75,1714.04,2026-06-30,2026-09-03 20:37:04
11,Mirae Asset,224952.42,0.75,1687.14,2026-06-30,2026-09-03 20:37:04
12,Bandhan,204046.05,0.75,1530.35,2026-06-30,2026-09-03 20:37:04
13,Edelweiss,170951.15,0.75,1282.13,2026-06-30,2026-09-03 20:37:04
14,PPFAS,160807.1,0.75,1206.05,2026-06-30,2026-09-03 20:37:04
15,Invesco,146008.7,0.75,1095.07,2026-06-30,2026-09-03 20:37:04
16,HSBC,143007.23,0.75,1072.55,2026-06-30,2026-09-03 20:37:04
17,Motilal Oswal,142529.98,0.75,1068.97,2026-06-30,2026-09-03 20:37:04
18,Franklin Templeton,126017.41,0.75,945.13,2026-06-30,2026-09-03 20:37:04
19,Canara Robeco,118727.53,0.75,890.46,2026-06-30,2026-09-03 20:37:04
20,quant,95314.39,0.75,714.86,2026-06-30,2026-09-03 20:37:04
21,Sundaram,76928.71,0.75,576.97,2026-06-30,2026-09-03 20:37:04
22,Baroda BNP Paribas,53148.58,0.75,398.61,2026-06-30,2026-09-03 20:37:04
23,LIC,49534.92,0.75,371.51,2026-06-30,2026-09-03 20:37:04
24,WhiteOak Capital,37392.42,0.75,280.44,2026-06-30,2026-09-03 20:37:04
25,Mahindra Manulife,34786.37,0.75,260.9,2026-06-30,2026-09-03 20:37:04
26,Bajaj Finserv,33027.32,0.75,247.7,2026-06-30,2026-09-03 20:37:04
27,Union,28097.72,0.75,210.73,2026-06-30,2026-09-03 20:37:04
28,PGIM India,26639.93,0.75,199.8,2026-06-30,2026-09-03 20:37:04
29,Jio BlackRock,17978.9,0.75,134.84,2026-06-30,2026-09-03 20:37:04
30,Bank of India,15445.85,0.75,115.84,2026-06-30,2026-09-03 20:37:04
31,Zerodha,15373.42,0.75,115.3,2026-06-30,2026-09-03 20:37:04
32,JM Financial,13204.59,0.75,99.03,2026-06-30,2026-09-03 20:37:04
33,360 ONE,13053.47,0.75,97.9,2026-06-30,2026-09-03 20:37:04
34,ITI,11302.29,0.75,84.77,2026-06-30,2026-09-03 20:37:04
35,Helios,11103.26,0.75,83.27,2026-06-30,2026-09-03 20:37:04
36,Navi,9453.12,0.75,70.9,2026-06-30,2026-09-03 20:37:04
37,NJ,6922.32,0.75,51.92,2026-06-30,2026-09-03 20:37:04
38,Abakkus,5579.87,0.75,41.85,2026-06-30,2026-09-03 20:37:04
39,Groww,5106.38,0.75,38.3,2026-06-30,2026-09-03 20:37:04
40,Trust,5074.94,0.75,38.06,2026-06-30,2026-09-03 20:37:04
41,Old Bridge,3418.84,0.75,25.64,2026-06-30,2026-09-03 20:37:04
42,Quantum,3185.14,0.75,23.89,2026-06-30,2026-09-03 20:37:04
43,Samco,2522.13,0.75,18.92,2026-06-30,2026-09-03 20:37:04
44,Unifi,1497.42,0.75,11.23,2026-06-30,2026-09-03 20:37:04
45,The Wealth Company,1297.51,0.75,9.73,2026-06-30,2026-09-03 20:37:04
46,Shriram,1160.83,0.75,8.71,2026-06-30,2026-09-03 20:37:04
47,Taurus,1009.17,0.75,7.57,2026-06-30,2026-09-03 20:37:04
48,IL&FS,931.72,0.75,6.99,2026-06-30,2026-09-03 20:37:04
49,Capitalmind,569.14,0.75,4.27,2026-06-30,2026-09-03 20:37:04
50,Angel One,564.94,0.75,4.24,2026-06-30,2026-09-03 20:37:04
51,Choice,82.56,0.75,0.62,2026-06-30,2026-09-03 20:37:04
